freq_Hz,Re,Im
2.4627056092e+10,1.3239483028e+01,-6.5213354517e+01
2.4727166076e+10,-1.4936941013e+00,6.2400707502e+01
2.4827276060e+10,-7.3592987455e+00,-5.8871345961e+01
2.4927386044e+10,7.2374502575e+00,5.6270265121e+01
2.5027496028e+10,-1.7267969850e+00,-5.3191283700e+01
2.5127606012e+10,-5.5434194643e-01,5.1158502931e+01
2.5227715997e+10,-6.8374973783e+00,-4.8779722809e+01
2.5327825981e+10,1.2994221902e+01,4.8848654354e+01
2.5427935965e+10,-1.1245508372e+01,-5.1044721788e+01
2.5528045949e+10,6.2512972995e+00,4.8781380090e+01
2.5628155933e+10,-5.3481021058e+00,-4.6823932790e+01
2.5728265917e+10,9.1990224843e+00,4.5144680075e+01
2.5828375901e+10,-1.3729559782e+01,-4.2541763709e+01
2.5928485885e+10,1.2759586381e+01,4.0999277908e+01
2.6028595869e+10,-1.0579932243e+01,-3.3517624081e+01
2.6128705854e+10,1.6160686909e+01,3.0702530854e+01
2.6228815838e+10,-1.9723711452e+01,-3.9552335797e+01
2.6328925822e+10,1.7054047049e+01,4.4190095838e+01
2.6429035806e+10,-1.4753308647e+01,-4.0324454422e+01
2.6529145790e+10,1.5575182476e+01,4.1199907469e+01
2.6629255774e+10,-2.2991628814e+01,-4.7417004654e+01
2.6729365758e+10,2.9335869822e+01,4.3333712745e+01
2.6829475742e+10,-2.6396045658e+01,-3.3681269222e+01
2.6929585727e+10,2.0815557406e+01,3.3146008677e+01
2.7029695711e+10,-2.0078881637e+01,-3.4794844046e+01
2.7129805695e+10,2.2313513071e+01,3.3694429547e+01
2.7229915679e+10,-2.4075839229e+01,-3.5521302814e+01
2.7330025663e+10,2.1600078999e+01,3.5236481693e+01
2.7430135647e+10,-1.6340351782e+01,-2.7028874727e+01
2.7530245631e+10,2.0677697541e+01,2.1513905974e+01
2.7630355615e+10,-2.8933091971e+01,-2.7456366269e+01
2.7730465599e+10,2.7994342127e+01,3.0652826853e+01
2.7830575584e+10,-2.6779597409e+01,-2.1753331025e+01
2.7930685568e+10,3.2398533034e+01,1.5346251811e+01
2.8030795552e+10,-3.4509445758e+01,-1.7569083450e+01
2.8130905536e+10,3.0316925800e+01,2.0671745660e+01
2.8231015520e+10,-2.6856866197e+01,-1.8967778002e+01
2.8331125504e+10,2.1424229207e+01,1.1749390568e+01
2.8431235488e+10,-1.5626691625e+01,-1.0179783619e+01
2.8531345472e+10,1.9743133889e+01,1.5542886965e+01
2.8631455456e+10,-3.0316334043e+01,-1.7279693277e+01
2.8731565441e+10,3.5551244219e+01,1.5530239261e+01
2.8831675425e+10,-3.5558715651e+01,-1.6142070118e+01
2.8931785409e+10,3.4275271992e+01,1.9677006955e+01
2.9031895393e+10,-2.8630887736e+01,-1.7574769873e+01
2.9132005377e+10,2.4587034450e+01,9.6812149523e+00
2.9232115361e+10,-2.4544122200e+01,-7.3534492983e+00
2.9332225345e+10,1.7700867716e+01,8.4224881647e+00
2.9432335329e+10,-1.3234046719e+01,-6.0284878185e+00
2.9532445313e+10,2.0704585444e+01,7.2022777754e+00
2.9632555298e+10,-2.1064340895e+01,-1.3695768871e+01
2.9732665282e+10,1.3654496140e+01,1.8404048048e+01
2.9832775266e+10,-1.9756452027e+01,-1.4401052870e+01
2.9932885250e+10,2.7740639843e+01,5.9747509079e+00
3.0032995234e+10,-2.1291660927e+01,-7.1850815441e+00
3.0133105218e+10,1.7980531372e+01,1.2881665512e+01
3.0233215202e+10,-1.7642215740e+01,-1.2194574257e+01
3.0333325186e+10,9.6004516510e+00,7.3795713940e+00
3.0433435170e+10,-5.6394054408e+00,-3.2481530556e+00
3.0533545155e+10,1.1183077818e+01,4.5240362614e+00
3.0633655139e+10,-1.7334795623e+01,-9.1576832759e+00
3.0733765123e+10,1.5268768342e+01,1.0634296866e+01
3.0833875107e+10,-1.0929106046e+01,-1.0417079757e+01
3.0933985091e+10,1.2875672362e+01,7.3502471736e+00
3.1034095075e+10,-1.8522847612e+01,3.0593275246e+00
3.1134205059e+10,2.4185107374e+01,-6.1104199452e+00
3.1234315043e+10,-2.5447295037e+01,-4.2947797008e+00
3.1334425027e+10,1.7360305926e+01,3.4833742244e+00
3.1434535012e+10,-9.7090422752e+00,4.8277089932e+00
3.1534644996e+10,1.5718650585e+01,-4.2607347416e+00
3.1634754980e+10,-1.9061337136e+01,8.3643292083e-01
3.1734864964e+10,4.2670775960e+00,1.7401609361e+00
3.1834974948e+10,9.6539834029e-01,2.9951503546e+00
3.1935084932e+10,9.8221671337e+00,-4.2054807699e+00
3.2035194916e+10,-8.8344732295e+00,-2.2146287617e-01
3.2135304900e+10,2.1086454638e+00,-3.0309182593e+00
3.2235414885e+10,-8.1295763030e+00,1.8101153721e+00
3.2335524869e+10,1.7086383939e+01,1.0241809003e+00
3.2435634853e+10,-1.4949965306e+01,4.0039672265e+00
3.2535744837e+10,1.3264107450e+01,-5.8863228125e+00
3.2635854821e+10,-1.8145534396e+01,2.9262237842e+00
3.2735964805e+10,1.6101861685e+01,-4.1384341110e+00
3.2836074789e+10,-8.7536154844e+00,1.0037214905e+01
3.2936184773e+10,9.4812499828e+00,-8.3664003369e+00
3.3036294757e+10,-1.1602294572e+01,4.0524044129e+00
3.3136404742e+10,9.0870921963e+00,-8.2414049696e+00
3.3236514726e+10,-1.2053452329e+01,5.0802860433e+00
3.3336624710e+10,1.4244036330e+01,2.8496108021e+00
3.3436734694e+10,-1.2130950421e+01,-6.2083700638e+00
3.3536844678e+10,7.3408438948e+00,1.0787341444e+01
3.3636954662e+10,-4.8340723660e-01,-6.7024049380e+00
3.3737064646e+10,3.4685603041e+00,-2.4027503798e+00
3.3837174630e+10,-8.5336314976e+00,7.7157236731e+00
3.3937284614e+10,1.8073312636e+00,-1.0018585709e+01
3.4037394599e+10,6.8588612520e+00,8.9517426879e+00
3.4137504583e+10,1.2242956594e+00,-8.5890938343e+00
3.4237614567e+10,-1.7162589908e+01,8.3693180529e+00
3.4337724551e+10,1.5392739682e+01,-8.2840518312e+00
3.4437834535e+10,-6.6201662204e+00,2.0314472653e+00
3.4537944519e+10,4.9671531276e+00,4.6310914154e+00
3.4638054503e+10,-3.4404910149e+00,-8.2222854366e-01
3.4738164487e+10,-5.4898012045e+00,-1.8366144821e+00
3.4838274471e+10,9.7146537249e+00,1.2106918087e+00
3.4938384456e+10,5.1808369777e-01,-7.9973563238e-01
3.5038494440e+10,-2.8074352695e+00,3.7935611461e+00
3.5138604424e+10,-4.5963189223e+00,-1.1684531105e+01
3.5238714408e+10,3.7345201416e+00,1.4518260297e+01
3.5338824392e+10,2.6389038937e+00,-5.1662106747e+00
3.5438934376e+10,-2.8836751277e+00,-4.8502634744e+00
3.5539044360e+10,4.8654354059e+00,5.1456547853e+00
3.5639154344e+10,-1.2190664584e+01,-3.0583997712e+00
3.5739264328e+10,1.3163143378e+01,-9.2851779013e-01
3.5839374313e+10,-3.8553348264e+00,6.9668938433e-02
3.5939484297e+10,-7.5543071402e+00,2.1261863384e+00
3.6039594281e+10,4.9807299794e+00,1.2061034618e+00
3.6139704265e+10,-4.7090810367e+00,1.0598690963e+00
3.6239814249e+10,1.2026666023e+01,1.6629014892e+00
3.6339924233e+10,9.3159090796e-01,-6.9334758043e+00
