Time(us),Differential_Amplitude
4.187011718750000195e-04,-7.900000000000000000e+01
4.199218749999999935e-04,-5.551000000000000227e+02
4.211425781250000217e-04,-8.435000000000000000e+02
4.223632812499999957e-04,3.405000000000000000e+02
4.235839843750000239e-04,-9.830000000000000000e+02
4.248046874999999978e-04,-6.750000000000000000e+02
4.260253906250000260e-04,-8.513999999999999773e+02
4.272460937500000000e-04,-1.540000000000000036e+01
4.284667968750000282e-04,3.003000000000000114e+02
4.296875000000000022e-04,-3.906999999999999886e+02
4.309082031250000304e-04,-5.376000000000000227e+02
4.321289062500000043e-04,1.268599999999999909e+03
4.333496093749999783e-04,2.268000000000000114e+02
4.345703125000000065e-04,-9.900000000000000000e+01
4.357910156250000347e-04,6.193999999999999773e+02
4.370117187500000087e-04,4.481000000000000227e+02
4.382324218749999827e-04,6.453999999999999773e+02
4.394531250000000108e-04,-1.168000000000000000e+03
4.406738281250000390e-04,-3.333000000000000114e+02
4.418945312500000130e-04,1.077000000000000028e+02
4.431152343749999870e-04,2.268000000000000114e+02
4.443359374999999610e-04,-1.063200000000000045e+03
4.455566406250000434e-04,-1.120000000000000000e+02
4.467773437500000173e-04,-3.576000000000000227e+02
4.479980468749999913e-04,-1.050000000000000000e+01
4.492187499999999653e-04,-7.715000000000000000e+02
4.504394531250000477e-04,7.790000000000000568e+01
4.516601562500000217e-04,8.135000000000000000e+02
4.528808593749999957e-04,4.535000000000000000e+02
4.541015624999999696e-04,2.741999999999999886e+02
4.553222656250000520e-04,3.475000000000000000e+02
4.565429687500000260e-04,-1.745000000000000000e+02
4.577636718750000000e-04,4.228999999999999773e+02
4.589843749999999740e-04,1.633000000000000114e+02
4.602050781250000022e-04,-7.792000000000000455e+02
4.614257812500000304e-04,6.397999999999999545e+02
4.626464843750000043e-04,4.258999999999999773e+02
4.638671874999999783e-04,-1.142999999999999972e+02
4.650878906250000065e-04,-3.850000000000000000e+02
4.663085937499999805e-04,3.800000000000000000e+01
4.675292968749999545e-04,-4.816999999999999886e+02
4.687500000000000369e-04,1.079200000000000045e+03
4.699707031250000651e-04,-1.734000000000000057e+02
4.711914062500000390e-04,-2.025999999999999943e+02
4.724121093750000130e-04,1.004700000000000045e+03
4.736328125000000412e-04,1.416999999999999886e+02
4.748535156250000152e-04,-1.839999999999999858e+01
4.760742187499999892e-04,-5.317000000000000455e+02
4.772949218749999631e-04,-4.278999999999999773e+02
4.785156249999999913e-04,-2.061999999999999886e+02
4.797363281250000737e-04,-1.829000000000000057e+02
4.809570312500000477e-04,3.326000000000000227e+02
4.821777343750000217e-04,5.932000000000000455e+02
4.833984375000000499e-04,1.171400000000000091e+03
4.846191406250000239e-04,-5.691000000000000227e+02
4.858398437499999978e-04,-1.409000000000000057e+02
4.870605468749999718e-04,-1.035799999999999955e+03
4.882812500000000000e-04,4.389999999999999858e+01
4.895019531249999740e-04,9.102999999999999545e+02
4.907226562500000564e-04,-2.386999999999999886e+02
4.919433593750000304e-04,2.045000000000000000e+02
4.931640625000000043e-04,-3.791999999999999886e+02
4.943847656249999783e-04,-1.090000000000000000e+02
4.956054687500000607e-04,-3.961999999999999886e+02
4.968261718750000347e-04,3.281000000000000227e+02
4.980468750000000087e-04,-3.171999999999999886e+02
4.992675781249999827e-04,1.804000000000000057e+02
5.004882812499999566e-04,8.017999999999999545e+02
5.017089843750000390e-04,-1.095500000000000000e+03
5.029296875000000130e-04,3.261999999999999886e+02
5.041503906249999870e-04,7.990000000000000000e+02
5.053710937500000694e-04,-4.508000000000000114e+02
5.065917968750000434e-04,-3.411999999999999886e+02
5.078125000000000173e-04,-8.040000000000000000e+02
5.090332031249999913e-04,-3.418999999999999773e+02
5.102539062499999653e-04,4.965000000000000000e+02
5.114746093749999393e-04,-1.232000000000000028e+02
5.126953125000000217e-04,-1.309000000000000057e+02
5.139160156249999957e-04,3.466000000000000227e+02
5.151367187500000781e-04,2.100999999999999943e+02
5.163574218750000520e-04,-4.840000000000000000e+02
5.175781250000000260e-04,1.027599999999999909e+03
5.187988281250000000e-04,4.900000000000000000e+01
5.200195312499999740e-04,1.094000000000000057e+02
5.212402343749999480e-04,-2.850000000000000000e+02
5.224609374999999219e-04,-2.450999999999999943e+02
5.236816406250000043e-04,2.490000000000000000e+02
5.249023437500000867e-04,1.896999999999999886e+02
5.261230468750000607e-04,1.270000000000000000e+02
5.273437500000000347e-04,-4.341999999999999886e+02
5.285644531250000087e-04,-4.086999999999999886e+02
5.297851562499999827e-04,-8.047999999999999545e+02
5.310058593749999566e-04,-4.103000000000000114e+02
5.322265624999999306e-04,1.325000000000000000e+02
5.334472656250000130e-04,6.678999999999999773e+02
5.346679687500000954e-04,-2.319000000000000057e+02
5.358886718750000694e-04,-1.561999999999999886e+02
5.371093750000000434e-04,-8.690000000000000568e+01
5.383300781250000173e-04,-2.470999999999999943e+02
5.395507812499999913e-04,1.655999999999999943e+02
5.407714843749999653e-04,4.216999999999999886e+02
5.419921874999999393e-04,2.601999999999999886e+02
5.432128906250000217e-04,3.386999999999999886e+02
5.444335937500001041e-04,-4.061000000000000227e+02
5.456542968750000781e-04,-4.761000000000000227e+02
5.468750000000000520e-04,6.397999999999999545e+02
5.480957031250000260e-04,-8.320000000000000284e+01
5.493164062500000000e-04,-5.678999999999999773e+02
5.505371093749999740e-04,2.728000000000000114e+02
5.517578124999999480e-04,-8.472000000000000455e+02
5.529785156250000304e-04,-6.396000000000000227e+02
5.541992187500000043e-04,-2.174000000000000057e+02
5.554199218750000867e-04,-4.313999999999999773e+02
5.566406250000000607e-04,-3.210000000000000142e+01
5.578613281250000347e-04,-1.721999999999999886e+02
5.590820312500000087e-04,9.270000000000000284e+01
5.603027343749999827e-04,4.216999999999999886e+02
5.615234374999999566e-04,2.971999999999999886e+02
5.627441406250000390e-04,4.230000000000000000e+02
5.639648437500000130e-04,3.891999999999999886e+02
5.651855468749999870e-04,9.927000000000000455e+02
5.664062500000000694e-04,3.850000000000000000e+02
5.676269531250000434e-04,3.978000000000000114e+02
5.688476562500000173e-04,-7.529999999999999716e+01
5.700683593749999913e-04,4.321000000000000227e+02
5.712890624999999653e-04,-3.850000000000000000e+01
5.725097656250000477e-04,1.840000000000000000e+02
5.737304687500000217e-04,-1.014000000000000057e+02
5.749511718749999957e-04,-4.608000000000000114e+02
5.761718749999999696e-04,2.561000000000000227e+02
5.773925781250000520e-04,5.293999999999999773e+02
5.786132812500000260e-04,-2.765000000000000000e+02
5.798339843750000000e-04,3.810000000000000142e+01
5.810546874999999740e-04,9.941000000000000227e+02
5.822753906250000564e-04,-6.350000000000000000e+02
5.834960937500000304e-04,-4.128000000000000114e+02
5.847167968750000043e-04,-4.940000000000000000e+02
5.859374999999999783e-04,6.935000000000000000e+02
5.871582031249999523e-04,4.320000000000000000e+02
5.883789062500000347e-04,-3.768999999999999773e+02
5.895996093750000087e-04,-1.011500000000000000e+03
5.908203124999999827e-04,-1.334000000000000057e+02
5.920410156250000651e-04,-8.409999999999999432e+01
5.932617187500000390e-04,-3.296999999999999886e+02
5.944824218750000130e-04,3.408000000000000114e+02
5.957031249999999870e-04,2.436999999999999886e+02
5.969238281249999610e-04,-2.853999999999999773e+02
5.981445312500000434e-04,-2.280000000000000000e+02
5.993652343750000173e-04,7.072999999999999545e+02
6.005859374999999913e-04,7.775000000000000000e+02
6.018066406250000737e-04,-3.651000000000000227e+02
6.030273437500000477e-04,-2.505999999999999943e+02
6.042480468750000217e-04,4.889999999999999858e+01
6.054687499999999957e-04,9.470000000000000284e+01
6.066894531249999696e-04,4.740000000000000000e+02
6.079101562499999436e-04,-9.459999999999999432e+01
6.091308593750000260e-04,5.296000000000000227e+02
6.103515625000000000e-04,-2.061999999999999886e+02
6.115722656250000824e-04,-4.281999999999999886e+02
6.127929687500000564e-04,-4.538999999999999773e+02
6.140136718750000304e-04,-4.350000000000000000e+01
6.152343750000000043e-04,2.481999999999999886e+02
